item_name,item_category,item_detail_url,item_price,item_store,item_create_date,item_thumb_upvotes,item_n_comments
RIDGID 6 Gallon Portable Electric Pancake Air Compressor $95 + Free Shipping,auto,https://slickdeals.net/f/17214124-ridgid-6-gallon-portable-electric-pancake-air-compressor-95-free-shipping,99,Home Depot ,2024-01-04,13,25
"Yitamotor Adjustable Trailer Hitch w/ Ball Mount, 8"" Drop/Rise, 2"" Receiver & Dual Towing Balls $72.50 + Free Shipping",auto,https://slickdeals.net/f/17214061-yitamotor-adjustable-trailer-hitch-w-ball-mount-8-drop-rise-2-receiver-dual-towing-balls-72-50-free-shipping,72.50,Amazon ,2024-01-04,0,3
LISEN Universal Car Vent Mounted Adjustable Phone Holder $6 + Free Shipping w/ Prime or $35+ orders,auto,https://slickdeals.net/f/17213569-lisen-universal-car-vent-mounted-adjustable-phone-holder-6-free-shipping-w-prime-or-35-orders,6,Amazon ,2024-01-04,3,0
"2-Piece DWVO Black LED Off-Road Light Pods Bar, 51W 7""  $18 + Free Shipping",auto,https://slickdeals.net/f/17214031-2-piece-dwvo-black-led-off-road-light-pods-bar-51w-7-18-free-shipping,18,Amazon ,2024-01-04,1,0
Allen Sports Premier 5-Bicycle Hitch Mounted Bike Rack (S555) $88.05 + Free Shipping,auto,https://slickdeals.net/f/17211964-allen-sports-premier-5-bicycle-hitch-mounted-bike-rack-s555-88-05-free-shipping,88.05,Amazon ,2024-01-03,2,3
17 Gallon Portable Oil Drain Pan w/Manual Rotary Pump $125.03 + Free Shipping,auto,https://slickdeals.net/f/17212111-17-gallon-portable-oil-drain-pan-w-manual-rotary-pump-125-03-free-shipping,125.03,Amazon ,2024-01-03,3,12
PULIDIKI Car Cleaning Gel Universal Detailing Kit $7.99 11%off,auto,https://slickdeals.net/f/17211121-pulidiki-car-cleaning-gel-universal-detailing-kit-7-99-11-off,7.99,Amazon ,2024-01-03,1,0
"Power Stop KOE5334 Front Brake Rotors & Ceramic Pads (Select '10-'19 Buick, Chevy, GMC, Saab) $66.65",auto,https://slickdeals.net/f/17210155-power-stop-koe5334-front-brake-rotors-ceramic-pads-select-10-19-buick-chevy-gmc-saab-66-65,66.65,Woot! ,,4,3
Ironton Combination Pliers Set — 5-Pc. set for $9.99.,auto,https://slickdeals.net/f/17209000-ironton-combination-pliers-set-5-pc-set-for-9-99,9.99,Northern Tool ,2024-01-02,1,1
Sea Foam Motor Treatment for pickup or shipping over 35$ $8.48,auto,https://slickdeals.net/f/17207947-sea-foam-motor-treatment-for-pickup-or-shipping-over-35-8-48,8.48,Walmart ,2024-01-01,1,14
"DEWALT Mechanics Tools Kit and Socket Set, 142-Piece, 1/4 & 3/8"" Drive, MM/SAE (DWMT73802) $99",auto,https://slickdeals.net/f/17206063-dewalt-mechanics-tools-kit-and-socket-set-142-piece-1-4-3-8-drive-mm-sae-dwmt73802-99,99,Amazon ,2023-12-31,2,5
UGREEN Aux to Bluetooth 5.3 Adapter Bluetooth Receiver for Car USB 2.0 to 3.5mm Jack Kit with Built-in Microphone $11.18,auto,https://slickdeals.net/f/17205433-ugreen-aux-to-bluetooth-5-3-adapter-bluetooth-receiver-for-car-usb-2-0-to-3-5mm-jack-kit-with-built-in-microphone-11-18,11.18,Amazon ,2023-12-31,1,0
"1 gallon Relentless Drive Ceramic Spray Wax, $19.99 after coupon, Amazon",auto,https://slickdeals.net/f/17202739-1-gallon-relentless-drive-ceramic-spray-wax-19-99-after-coupon-amazon,19.99,Amazon ,2023-12-30,6,4
YMMV: craftsman high pressure soap applicator $7.47 (Reg $29.95),auto,https://slickdeals.net/f/17203909-ymmv-craftsman-high-pressure-soap-applicator-7-47-reg-29-95,7.47,Lowe's ,2023-12-30,1,0
"Ryobi ONE+ HP 18V Brushless 1/2"" Drill/Driver/Impact Driver Kit + 2 Bonus Tools",auto,https://slickdeals.net/f/17200438-ryobi-one-hp-18v-drill-driver-impact-driver-two-batteries-and-two-free-tools-199,199,Home Depot ,2023-12-29,34,35
Costco Members: 6-Pack 1-Quart Mobil 1 Advanced Full Synthetic Motor Oil (various),auto,https://slickdeals.net/f/17201167-costco-and-costco-com-mobil-1-full-synthetic-motor-oil-0w-20-5w-20-5w-30-10w30-0w-40-and-high-mileage-formulas-33-49,33.49,Costco Wholesale ,2023-12-29,43,137
Echo Auto (1st gen) - Hands-free Alexa in your car with your phone - $9.99,auto,https://slickdeals.net/f/17201830-echo-auto-1st-gen-hands-free-alexa-in-your-car-with-your-phone-9-99,9.99,Woot! ,2023-12-29,2,4
Nelson Rigg Sierra Dry Roll Top Waterproof Motorcycle Saddlebags + Bottle Holder,auto,https://slickdeals.net/f/17201443-nelson-rigg-roll-top-waterproof-motorcycle-saddlebags-bottle-holder-fs-140,140,,2023-12-29,36,11
Ryobi USB Cordless Portable Inflator Kit w/ 2Ah USB Battery & Charging Cable,auto,https://slickdeals.net/f/17199340-ryobi-usb-cordless-portable-inflator-kit-w-2ah-usb-battery-charging-cable-30-free-shipping,30,Home Depot ,2023-12-29,28,45
Segway SuperScooter GT2 w/ Segway Helmet $2470 & More + Free Shipping,auto,https://slickdeals.net/f/17199454-segway-superscooter-gt2-w-segway-helmet-2470-more-free-shipping,2470,Segway ,2023-12-28,4,5
Goplus Automatic Transmission Clutch (Transmission Spring Compressor) $23.09 + Free Shipping w/ Prime or orders $35+,auto,https://slickdeals.net/f/17200168-goplus-automatic-transmission-clutch-transmission-spring-compressor-23-09-free-shipping-w-prime-or-orders-35,23.09,Amazon ,2023-12-29,2,0
Select Stores: 1-Qt VP Racing Fuels Engineered Pre-blended 2-Cycle Fuel (40:1 & 50:1),auto,https://slickdeals.net/f/17195191-select-stores-1-qt-vp-racing-fuels-engineered-pre-blended-2-cycle-fuel-40-1-50-1-1-70-free-store-pickup-limited-locations,1.72,Lowe's ,2023-12-27,26,47
Select Lowe's Stores: 32oz. TruFuel 4 Cycle Ethanol-Free Fuel,auto,https://slickdeals.net/f/17195077-ymmv-lowes-75-off-trufuel-trufuel-32-oz-4-cycle-fuel-1-72,1.72,Lowe's ,2023-12-28,50,109
1-Gallon Armor All All-Purpose Carwash Soap $11.30 + Free Shipping w/ Prime or on $35+,auto,https://slickdeals.net/f/17194795-1-gallon-armor-all-all-purpose-carwash-soap-11-30-free-shipping-w-prime-or-on-35,11.30,Amazon ,2023-12-27,2,0
